query_id,query_source_id,candidate_source_id,control_type,pipeline_query,pipeline_reference,resolution_query,resolution_reference,extractor,aggregator,similarity,seed,model,replicate,n_controls,label_match,raw_score,candidate_score_fixed,control_mean,control_median,control_mad,fits_score,fits_plus_score,log_ratio
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,0,1,False,0.5066168254007474,0.5066168254007474,0.5188399739227145,0.5188399739227145,0.0,0.9764413901466507,0.9764413901466507,-0.023840550797826432
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,0,3,False,0.5066168254007474,0.5066168254007474,0.5126625369664257,0.5188399739227145,0.0012099408681560675,0.9764413901466507,0.9764413901466507,-0.023840550797826432
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,0,9,False,0.5066168254007474,0.5066168254007474,0.5137496904547034,0.516107298869593,0.005751042927668704,0.9764413901466507,0.9816114333402528,-0.018559737996124537
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,0,27,False,0.5066168254007474,0.5066168254007474,0.5171011222188078,0.5163988973098639,0.004418431106390841,0.9764413901466507,0.9810571402067755,-0.019124574215224288
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,1,1,False,0.5066168254007474,0.5066168254007474,0.535016933171863,0.535016933171863,0.0,0.9469173665163365,0.9469173665163365,-0.05454344776976139
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,1,3,False,0.5066168254007474,0.5066168254007474,0.5227220033352815,0.5307752478628289,0.004241685309034127,0.9469173665163365,0.9544846475803918,-0.04658372019881307
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,1,9,False,0.5066168254007474,0.5066168254007474,0.5176119267876234,0.5224558972350383,0.008319350627790656,0.9469173665163365,0.969683427982888,-0.0307856236569104
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,1,27,False,0.5066168254007474,0.5066168254007474,0.5109345627369122,0.510754279068783,0.009703612141196971,0.9469173665163365,0.9918993264714705,-0.008133662259081076
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,2,1,False,0.5066168254007474,0.5066168254007474,0.460414761069547,0.460414761069547,0.0,1.1003487903469311,1.1003487903469311,0.09562721167798305
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,2,3,False,0.5066168254007474,0.5066168254007474,0.4970815928734096,0.4970791641882876,0.03666440311874064,1.1003487903469311,1.0191874089674116,0.019005651920570577
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,2,9,False,0.5066168254007474,0.5066168254007474,0.5068347886160045,0.5083816089061723,0.015457635057343766,1.1003487903469311,0.9965286244142032,-0.003477414790307498
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,2,27,False,0.5066168254007474,0.5066168254007474,0.5068187798581333,0.5084161573765388,0.012288241855077597,1.1003487903469311,0.9964609071728245,-0.0035453702314490743
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,3,1,False,0.5066168254007474,0.5066168254007474,0.48861605812632203,0.48861605812632203,0.0,1.0368403104544952,1.0368403104544952,0.03617792554226851
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,3,3,False,0.5066168254007474,0.5066168254007474,0.48887066552995534,0.48861605812632203,0.008071066154917539,1.0368403104544952,1.0368403104544952,0.03617792554226851
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,3,9,False,0.5066168254007474,0.5066168254007474,0.503254480584719,0.5001370065930494,0.011277892900142805,1.0368403104544952,1.012956087476587,0.012872875340364631
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,3,27,False,0.5066168254007474,0.5066168254007474,0.5087596173612159,0.5063871972945165,0.015219903239850563,1.0368403104544952,1.0004534634908973,0.0004533607073996526
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,4,1,False,0.5066168254007474,0.5066168254007474,0.505137736673485,0.505137736673485,0.0,1.002928089944344,1.002928089944344,0.0029238114388474568
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,4,3,False,0.5066168254007474,0.5066168254007474,0.49556460301366184,0.5032395026136216,0.0018982340598634462,1.002928089944344,1.0067111639082094,0.006688744299588212
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,4,9,False,0.5066168254007474,0.5066168254007474,0.50703409816439,0.5077512403800021,0.00676781915841107,1.002928089944344,0.9977658055972336,-0.002236693938741263
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,4,27,False,0.5066168254007474,0.5066168254007474,0.5125896547083276,0.5145190595384131,0.008169964071407687,1.002928089944344,0.9846415132905766,-0.015477649952321704
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,5,1,False,0.5066168254007474,0.5066168254007474,0.5109171122093974,0.5109171122093974,0.0,0.9915832006681985,0.9915832006681985,-0.008452420606203659
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,5,3,False,0.5066168254007474,0.5066168254007474,0.5175747496487098,0.5131545646370499,0.0022374524276524976,0.9915832006681985,0.9872597075290043,-0.012822145965261211
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,5,9,False,0.5066168254007474,0.5066168254007474,0.5094780088480189,0.5109171122093974,0.008059433056807452,0.9915832006681985,0.9915832006681985,-0.008452420606203659
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,5,27,False,0.5066168254007474,0.5066168254007474,0.5082147498071092,0.5092650632373488,0.011180540708409015,0.9915832006681985,0.9947998831497161,-0.005213684513975747
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,6,1,False,0.5066168254007474,0.5066168254007474,0.5092585454173472,0.5092585454173472,0.0,0.9948126152415668,0.9948126152415668,-0.005200885949570688
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,6,3,False,0.5066168254007474,0.5066168254007474,0.5133078322886903,0.5150066975089234,0.0006515564308768873,0.9948126152415668,0.9837091980575056,-0.016424956036970695
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,6,9,False,0.5066168254007474,0.5066168254007474,0.5072542754443231,0.5092585454173472,0.010962092927794265,0.9948126152415668,0.9948126152415668,-0.005200885949570688
additive:variance-query:0,0,1,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,6,27,False,0.5066168254007474,0.5066168254007474,0.5097385597963947,0.5092585454173472,0.011007033150934986,0.9948126152415668,0.9948126152415668,-0.005200885949570688
