suite_id,extractor,aggregator,query_count,h1_count,h0_count,h1_median,h0_median,paired_margin_mean,paired_margin_median,auroc,average_precision,auroc_ci_low,auroc_ci_high,permutation_p,holm_corrected_p,signal_detected
dm_256,low_bit,mean,80,80,240,0.00012578874974349244,-0.0005860731383299047,-2.5913185963970677e-05,0.0017177449779958737,0.5623437499999999,0.29471529520951595,0.48571223958333337,0.6390169270833335,0.5058747062646868,1.0,False
dm_256,low_bit,median,80,80,240,0.00021588733330639757,-0.00038674852126650535,-0.00028841889069015496,0.0012183495225270096,0.54328125,0.28298510714708447,0.46238541666666666,0.6209388020833334,0.5894205289735513,1.0,False
dm_256,low_bit,prnu_mle,80,80,240,0.0006515079885958674,-0.00042826014513803524,0.022888719354806554,0.0012777309149627652,0.6093229166666667,0.4628696479375755,0.5260416666666667,0.69037890625,4.999750012499375e-05,0.0023998800059997,True
dm_256,low_bit,trimmed_mean,80,80,240,0.00014638381011763426,-0.0005454465629360593,-2.8421209187444017e-05,0.0020931061201168574,0.5578645833333332,0.2933736695014269,0.47566666666666674,0.6359921875,0.5098245087745613,1.0,False
dm_256,noiseprint,mean,80,80,240,0.6739188191555138,0.6713155443451533,0.004052263530269423,0.0043045360305779545,0.55515625,0.30977199938823785,0.5326536458333334,0.58031640625,4.999750012499375e-05,0.0023998800059997,True
dm_256,noiseprint,median,80,80,240,0.6630523319746175,0.6590392322888126,0.004089278258053457,0.004294445737794028,0.55625,0.3143537676173504,0.5346354166666667,0.5818229166666666,4.999750012499375e-05,0.0023998800059997,True
dm_256,noiseprint,prnu_mle,80,80,240,0.6550001688265228,0.6511867528876476,0.007520282285610918,0.007078749388564232,0.5417708333333333,0.30899762823172383,0.5221315104166667,0.56808203125,9.99950002499875e-05,0.00279986000699965,True
dm_256,noiseprint,trimmed_mean,80,80,240,0.6712394981321124,0.6677180709356119,0.00411019926652106,0.0042439261079734725,0.5557291666666666,0.31129807939784787,0.5330716145833333,0.5827083333333334,4.999750012499375e-05,0.0023998800059997,True
dm_256,srm,mean,80,80,240,0.002980605544508635,0.0010641621043493193,0.0029047885466223595,0.0031421798288722774,0.58140625,0.32821479711367346,0.5138476562500001,0.6481302083333333,0.014499275036248187,0.3044847757612119,False
dm_256,srm,median,80,80,240,0.0047115554041446805,0.0002595991763406055,0.0030722042100310844,0.004591319105644179,0.6346354166666668,0.4007956024462362,0.5613502604166667,0.7055859374999999,0.0066496675166241685,0.1462926853657317,False
